TED_source	TED_ref	Facebook-AI	Manifold	metricsystem1	metricsystem2	metricsystem3	metricsystem4	metricsystem5	Nemo	NiuTrans	Online-A	Online-B	Online-G	Online-W	Online-Y
And with all of our modern telescopes, we've been able to collect this stunning silent movie of the universe -- these series of snapshots that go all the way back to the Big Bang.	С помощью современных телескопов мы смогли собрать потрясающий немой фильм о Вселенной, охватывающий всю нашу историю вплоть до Большого взрыва.	И с помощью всех наших современных телескопов мы смогли собрать этот потрясающий немой фильм о Вселенной - эти серии снимков, которые восходят к Большому взрыву.	И со всеми нашими современными телескопами мы смогли собрать этот потрясающий немой фильм Вселенной - эти серии снимков, которые восходят к Большому Взрыву.	И со всеми нашими современными телескопами мы смогли собрать этот потрясающий немой фильм о вселенной — эти серии снимков, которые восходят к Большому взрыву.	И с помощью всех наших современных телескопов мы смогли собрать этот потрясающий немой фильм о вселенной - эту серию снимков, которые восходят к Большому взрыву.	И со всеми нашими современными телескопами мы смогли собрать этот потрясающий безмолвный фильм о вселенной - эти серии снимков, которые восходят к Большому взрыву.	И со всеми нашими современными телескопами мы смогли собрать этот потрясающий немой фильм вселенной - эти серии снимков, которые восходят к Большому взрыву.	И со всеми нашими современными телескопами мы смогли собрать это потрясающее немое кино вселенной — эти серии снимков, которые восходят к Большому взрыву.	И со всеми нашими современными телескопами мы смогли собрать этот потрясающий немой фильм о Вселенной - эту серию снимков, которые идут вплоть до Большого взрыва.	И со всеми нашими современными телескопами мы смогли собрать этот потрясающий немой фильм о вселенной - эти серии снимков, которые идут вплоть до Большого взрыва.	И со всеми нашими современными телескопами мы смогли собрать это потрясающее немое кино о Вселенной - эти серии снимков, которые восходят к Большому взрыву.	И с помощью всех наших современных телескопов мы смогли собрать этот потрясающий немой фильм о вселенной - эти серии снимков, которые восходят к Большому взрыву.	И с помощью всех наших современных телескопов мы смогли собрать этот потрясающий немой фильм о Вселенной-серию снимков, которые восходят к Большому взрыву.	И с помощью всех наших современных телескопов мы смогли собрать этот потрясающий немой фильм о Вселенной - эти серии снимков, которые восходят к Большому взрыву.	С помощью всех наших современных телескопов нам удалось собрать потрясающий немой фильм о вселенной — серию снимков, которые восходят к Большому Взрыву.
And yet, the universe is not a silent movie because the universe isn't silent.	Однако кино это вовсе не лишено звука, потому как Вселенная не беззвучна.	И все же Вселенная - это не немое кино, потому что Вселенная не молчит.	И все же вселенная - это не немое кино, потому что вселенная не молчит.	И тем не менее, вселенная — это не немое кино, потому что вселенная не молчит.	И все же вселенная - это не немое кино, потому что вселенная не безмолвна.	И все же, вселенная не молчаливый фильм, потому что вселенная не молчит.	И все же Вселенная не немое кино, потому что Вселенная не молчит.	И все же вселенная — это не немое кино, потому что вселенная не молчит.	И все же вселенная - это немое кино, потому что вселенная не молчит.	И все же вселенная - это не немое кино, потому что вселенная не молчит.	И все же, Вселенная не является немым фильмом, потому что Вселенная не молчит.	И все же вселенная - это не немое кино, потому что вселенная не безмолвна.	И все же вселенная-это не немое кино, потому что вселенная не молчит.	И все же, Вселенная - это не немое кино, потому что Вселенная не безмолвна.	Тем не менее, вселенная — это не немое кино, потому что вселенная не молчит.
I'd like to convince you that the universe has a soundtrack and that soundtrack is played on space itself, because space can wobble like a drum.	Я хочу доказать вам, что у Вселенной есть своя звуковая дорожка, и она «воспроизводится» самим космосом, ведь космическое пространство вибрирует как барабан.	Я хотел бы убедить вас, что у Вселенной есть саундтрек, и этот саундтрек воспроизводится в самом пространстве, потому что пространство может колебаться, как барабан.	Я хотел бы убедить вас, что во Вселенной есть саундтрек и что саундтрек воспроизводится в самом космосе, потому что пространство может колебаться, как барабан.	Я хотел бы убедить вас, что у вселенной есть саундтрек, и этот саундтрек воспроизводится в самом космосе, потому что пространство может колебаться, как барабан.	Я хотел бы убедить вас, что у вселенной есть саундтрек, и этот саундтрек воспроизводится в самом космосе, потому что космос может раскачиваться, как барабан.	Я хотел бы убедить вас, что во вселенной есть саундтрек, и этот саундтрек воспроизводится на самом пространстве, потому что пространство может колебаться, как барабан.	Я хотел бы убедить вас, что у вселенной есть саундтрек, и что саундтрек воспроизводится в самом космосе, потому что пространство может колебаться, как барабан.	Я хотел бы убедить вас, что у вселенной есть саундтрек, и что саундтрек воспроизводится на самом пространстве, потому что пространство может раскачиваться, как барабан.	Я хочу вас убедить, что во вселенной есть саундтрек и что саундтрек воспроизводится в самом космосе, потому что космос может раскачиваться, как барабан.	Я хотел бы убедить вас, что во Вселенной есть саундтрек и что саундтрек воспроизводится на самом космосе, потому что космос может колебаться, как барабан.	Я хотел бы убедить вас, что во Вселенной есть саундтрек, и что саундтрек воспроизводится на самом пространстве, потому что пространство может колебаться, как барабан.	Я хотел бы убедить вас, что у Вселенной есть саундтрек, и этот саундтрек воспроизводится в самом космосе, потому что космос может раскачиваться, как барабан.	Я хотел бы убедить вас, что у вселенной есть саундтрек, и этот саундтрек воспроизводится на самом пространстве, потому что пространство может колебаться, как барабан.	Я хотел бы убедить вас, что у Вселенной есть саундтрек, и этот саундтрек играет само пространство, потому что пространство может колебаться, как барабан.	Я хочу убедить вас, что во Вселенной есть саундтрек, а саундтрек воспроизводится в пространстве, потому что пространство может колебаться как барабан.
It can ring out a kind of recording throughout the universe of some of the most dramatic events as they unfold.	В нем разносятся своеобразные звуки, сопровождающие самые яркие события по мере того, как они происходят.	Это может вызвать своего рода запись во всей вселенной некоторых из самых драматических событий по мере их развития.	Это может вызвать своего рода запись по всей Вселенной некоторых из самых драматических событий, когда они разворачиваются.	Это может стать своего рода записью по всей вселенной некоторых из самых драматических событий, когда они разворачиваются.	Это может стать своего рода записью по всей вселенной некоторых из самых драматических событий по мере их развития.	Это может прозвучать как запись во вселенной некоторых самых драматических событий, когда они разворачиваются.	Это может звучать как запись по всей вселенной некоторых из самых драматических событий, когда они разворачиваются.	Он может прозвучать своего рода запись по всей вселенной некоторых из самых драматических событий по мере их разворачивания.	Это может стать своего рода записью во вселенной некоторых из самых драматических событий по мере их разворачивания.	Она может стать своего рода записью по всей вселенной некоторых из самых драматических событий по мере их развития.	Это может звучать как своего рода запись по всей вселенной некоторых из самых драматических событий по мере их развития.	Это может стать своего рода записью по всей вселенной некоторых из самых драматических событий по мере их развития.	Это может стать своего рода записью по всей Вселенной некоторых из самых драматических событий по мере их развития.	Он может воспроизводить во всей Вселенной своеобразную запись некоторых самых драматических событий по мере их развития.	Это может привести к своеобразной записи по всей вселенной некоторых из самых драматических событий по мере их разворачивания.
Now we'd like to be able to add to a kind of glorious visual composition that we have of the universe -- a sonic composition.	Сегодня мы хотели бы дополнить роскошный визуальный образ вселенной, имеющийся у нас, еще и саундтреком.	Теперь мы хотели бы иметь возможность добавить к великолепной визуальной композиции, которую мы имеем о Вселенной, звуковую композицию.	Теперь мы хотели бы иметь возможность добавить к некой славной визуальной композиции, которая у нас есть во Вселенной, звуковую композицию.	Теперь мы хотели бы иметь возможность добавить к некой великолепной визуальной композиции вселенной, которую мы имеем, — звуковой композиции.	Теперь мы хотели бы иметь возможность добавить к своего рода великолепной визуальной композиции, которая есть у нас во вселенной, - звуковой композиции.	Теперь мы хотели бы иметь возможность добавить к своего рода великолепную визуальную композицию Вселенной - звуковую композицию.	Теперь мы хотели бы иметь возможность добавить к великолепной визуальной композиции вселенной, которую мы имеем - звуковую композицию.	Теперь мы хотели бы иметь возможность добавить к своего рода славной визуальной композиции, которая у нас есть вселенной, — звуковой композиции.	Теперь мы хотели бы иметь возможность добавить в своеобразную славную визуальную композицию, которую мы имеем о Вселенной - звуковую композицию.	Теперь мы хотели бы иметь возможность добавить к некой великолепной визуальной композиции, которая у нас есть во Вселенной - звуковую композицию.	Теперь мы хотели бы иметь возможность добавить к своего рода великолепной визуальной композиции, которую мы имеем о Вселенной - звуковую композицию.	Теперь мы хотели бы иметь возможность добавить к великолепной визуальной композиции Вселенной, которую мы имеем, - звуковую композицию.	Теперь мы хотели бы иметь возможность добавить к той великолепной визуальной композиции, которая у нас есть во Вселенной, звуковую композицию.	Теперь мы хотели бы иметь возможность добавить к той великолепной визуальной композиции, которую мы имеем о Вселенной, звуковую композицию.	Теперь мы хотели бы добавить к великолепной визуальной композиции Вселенной — звуковой композиции.
And while we've never heard the sounds from space, we really should, in the next few years, start to turn up the volume on what's going on out there.	До сих пор мы никогда не слышали звуков из космоса, но в ближайшее время нам стоит внимательно прислушаться к тому, что там происходит.	И хотя мы никогда не слышали звуков из космоса, мы действительно должны в ближайшие несколько лет начать громко говорить о том, что там происходит.	И хотя мы никогда не слышали звуков из космоса, мы действительно должны в ближайшие несколько лет начать увеличивать громкость того, что там происходит.	И хотя мы никогда не слышали звуков из космоса, нам действительно следует в ближайшие несколько лет начать прибавлять громкость того, что там происходит.	И хотя мы никогда не слышали звуков из космоса, нам действительно стоит в ближайшие несколько лет начать увеличивать громкость того, что там происходит.	И хотя мы никогда не слышали звуки из космоса, мы действительно должны в ближайшие несколько лет начать увеличивать громкость происходящего там.	И хотя мы никогда не слышали звуков из космоса, мы действительно должны в ближайшие несколько лет начать увеличивать громкость того, что там происходит.	И хотя мы никогда не слышали звуков из космоса, мы действительно должны в ближайшие несколько лет начать увеличивать громкость того, что там происходит.	И хотя мы никогда не слышали звуков из космоса, мы действительно должны в ближайшие несколько лет начать увеличивать громкость того, что там происходит.	И хотя мы никогда не слышали звуков из космоса, мы действительно должны в ближайшие несколько лет начать наращивать громкость того, что там происходит.	И хотя мы никогда не слышали звуков из космоса, мы действительно должны в ближайшие несколько лет начать наращивать громкость на то, что там происходит.	И хотя мы никогда не слышали звуков из космоса, нам действительно стоит в ближайшие несколько лет начать увеличивать громкость того, что там происходит.	И хотя мы никогда не слышали звуков из космоса, нам действительно следует в ближайшие несколько лет начать увеличивать громкость того, что там происходит.	И хотя мы никогда не слышали звуков из космоса, в ближайшие несколько лет мы действительно должны начать увеличивать громкость того, что там происходит.	И хотя мы никогда не слышали звуков из космоса, нам действительно следует в ближайшие несколько лет начать увеличивать громкость того, что там происходит.
So in this ambition to capture songs from the universe, we turn our focus to black holes and the promise they have, because black holes can bang on space-time like mallets on a drum and have a very characteristic song, which I'd like to play for you -- some of our predictions for what that song will be like.	Итак, с целью записать «песню» Вселенной, мы сосредоточились на черных дырах как самых многообещающих объектах, ведь они «бьют» в пространство-время как в колокол, и дают характерный звук. Сейчас вы услышите как, по нашему мнению, будет звучать эта песня.	Поэтому в этом стремлении уловить песни из Вселенной мы обращаем наше внимание на черные дыры и на то, что они обещают, потому что черные дыры могут стучать по пространству-времени, как молоточки по барабану, и у них есть очень характерная песня, которую я хотел бы сыграть для вас - некоторые из наших предсказаний о том, какой будет эта песня.	Поэтому в этом стремлении запечатлеть песни из Вселенной мы обращаем наше внимание на черные дыры и обещания, которые у них есть, потому что черные дыры могут стучать по пространству-времени, как молотки на барабане, и у них есть очень характерная песня, которую я хотел бы сыграть для вас - некоторые из наших предсказаний о том, какой будет эта песня.	Поэтому в своем стремлении запечатлеть песни из вселенной мы сосредоточим наше внимание на черных дырах и обещаниях, которые они имеют, потому что черные дыры могут стучать по пространству-времени, как молотки по барабану, и иметь очень характерную песню, которую я хотел бы сыграть для вас — некоторые из наших предсказаний о том, какой будет эта песня.	Итак, в этом стремлении запечатлеть песни из вселенной, мы обращаем наше внимание на черные дыры и их обещание, потому что черные дыры могут бить в пространстве-времени, как молотки по барабану, и имеют очень характерную песню, которую я хотел бы сыграть для вас - некоторые из наших предсказаний того, какой будет эта песня.	Таким образом, в этом стремлении захватить песни из вселенной, мы переключаем наше внимание на черные дыры и обещание, которое они имеют, потому что черные дыры могут биться в пространство-время, как молоток на барабане, и иметь очень характерную песню, которую я хотел бы сыграть для вас - некоторые из наших предсказаний о том, какой будет эта песня.	Поэтому в стремлении запечатлеть песни из вселенной мы обращаем наше внимание на черные дыры и их обещания, потому что черные дыры могут стучать по пространству-времени, как молотки по барабану, и иметь очень характерную песню, которую я хотел бы сыграть для вас - некоторые из наших предсказаний о том, какой будет эта песня.	Итак, в этом стремлении запечатлеть песни из вселенной мы обращаем наше внимание на черные дыры и обещание, которое они имеют, потому что черные дыры могут стучать по пространству-времени, как молотки по барабану, и иметь очень характерную песню, которую я хотел бы сыграть для вас, — некоторые из наших прогнозов относительно того, на что будет похожа эта песня.	Поэтому в этом стремлении запечатлеть песни из вселенной мы обращаем наше внимание на черные дыры и на то, что они обещают, потому что черные дыры могут стучать в пространство-время, как молотки на барабане, и у них очень характерная песня, которую я хотел бы сыграть для вас - некоторые из наших предсказаний о том, какой будет эта песня.	Поэтому, стремясь запечатлеть песни из вселенной, мы фокусируемся на черных дырах и обещаниях, которые у них есть, потому что черные дыры могут ударить по пространству и времени, как молотки на барабане, и иметь очень характерную песню, которую я хотел бы сыграть для вас - некоторые из наших предсказаний о том, какой будет эта песня.	Таким образом, в этом стремлении захватить песни из Вселенной мы обращаем наше внимание на черные дыры и их обещания, потому что черные дыры могут стучать по пространству-времени, как молотки на барабане, и иметь очень характерную песню, которую я хотел бы сыграть для вас - некоторые из наших предсказаний о том, какой будет эта песня.	Итак, в этом стремлении запечатлеть песни из вселенной, мы обращаем наше внимание на черные дыры и их обещание, потому что черные дыры могут бить в пространстве-времени, как молотки по барабану, и у них есть очень характерная песня, которую я бы хотел. сыграть для вас - некоторые из наших прогнозов того, какой будет эта песня.	Поэтому в этом стремлении запечатлеть песни из Вселенной мы обращаем наше внимание на черные дыры и их обещание, потому что черные дыры могут стучать по пространству-времени, как молотки по барабану, и у них есть очень характерная песня, которую я хотел бы сыграть для вас-некоторые из наших предсказаний о том, какой будет эта песня.	Поэтому в этом стремлении запечатлеть песни Вселенной мы обратим наше внимание на черные дыры и их перспективы, потому что черные дыры могут стучать по пространству-времени, как молоточки по барабану, и имеют очень характерную песню, которую я хотел бы сыграть для вас - некоторые из наших предсказаний о том, какой будет эта песня.	Поэтому в стремлении запечатлеть песни из Вселенной мы обратим внимание на черные дыры и их обещание, потому что черные дыры могут трахаться по пространственно-времени, как молотки на барабане, и иметь очень характерную песню, которую я хотел бы сыграть для вас — некоторые из наших предсказаний о том, какой будет эта песня.
We might one day see a shadow a black hole can cast on a very bright background, but we haven't yet.	Может быть, однажды мы увидим тень, которую черная дыра отбрасывает, оказываясь на ярком фоне, но пока такого мы не наблюдали.	Возможно, однажды мы увидим тень, которую черная дыра может отбрасывать на очень ярком фоне, но пока этого не произошло.	Мы могли бы когда-нибудь увидеть тень, которую черная дыра может бросить на очень ярком фоне, но мы еще этого не сделали.	В один прекрасный день мы можем увидеть тень, которую черная дыра может отбросить на очень ярком фоне, но пока этого не произошло.	Возможно, однажды мы увидим тень, которую черная дыра может отбрасывать на очень яркий фон, но пока этого не произошло.	Мы могли бы однажды увидеть тень, которую черная дыра может отбросить на очень яркий фон, но мы этого еще не сделали.	Мы можем однажды увидеть тень, которую может отбросить черная дыра на очень ярком фоне, но пока этого не произошло.	Однажды мы могли бы увидеть тень, которую черная дыра может отбрасывать на очень яркий фон, но мы еще этого не сделали.	Возможно, однажды мы увидим тень, которую черная дыра может отбросить на очень ярком фоне, но пока мы этого не сделали.	Мы могли бы однажды увидеть тень, которую черная дыра может бросить на очень ярком фоне, но мы еще этого не сделали.	Однажды мы можем увидеть тень, которую черная дыра может отбрасывать на очень яркий фон, но мы еще этого не сделали.	Возможно, однажды мы увидим тень, которую черная дыра может отбрасывать на очень яркий фон, но пока этого не произошло.	Возможно, однажды мы увидим тень, которую черная дыра может отбросить на очень ярком фоне, но пока этого не произошло.	Возможно, когда-нибудь мы увидим тень, которую черная дыра может отбрасывать на очень яркий фон, но пока мы этого не сделали.	Возможно, однажды мы увидим тень, которую черная дыра может бросать на очень ярком фоне, но пока нет.
And yet black holes may be heard even if they're not seen, and that's because they bang on space-time like a drum.	Тем не менее, черную дыру, пусть и невидимую, можно услышать, поскольку она «бьет» в пространство-время как в барабан.	И все же черные дыры можно услышать, даже если их не видно, и это потому, что они бьют в пространство-время, как в барабан.	И все же черные дыры могут быть слышны, даже если их не видно, и это потому, что они бьются в пространстве-времени, как барабан.	И все же черные дыры можно услышать, даже если их не видно, и это потому, что они бьют в пространство-время, как барабан.	И все же черные дыры можно услышать, даже если их не увидеть, и это потому, что они бьют по пространству-времени, как барабан.	И все же черные дыры могут быть услышаны, даже если они не видны, и это потому, что они бьют в пространстве-времени, как барабан.	И все же черные дыры можно услышать, даже если их не видно, и это потому, что они бьют в пространство-время, как барабан.	И все же черные дыры могут быть услышаны, даже если их не видно, и это потому, что они стучат по пространству-времени, как барабан.	И все же черные дыры могут быть слышны, даже если их не видно, и это потому, что они стучат в пространство-время, как барабан.	И все же черные дыры могут быть слышны, даже если их не видят, и это потому, что они бьют по пространству и времени, как барабан.	И все же черные дыры могут быть услышаны, даже если их не видно, и это потому, что они стучат в пространство-время, как барабан.	И все же черные дыры можно услышать, даже если их не увидеть, и это потому, что они бьют по пространству-времени, как барабан.	И все же черные дыры можно услышать, даже если их не видно, и это потому, что они стучат по пространству-времени, как барабан.	И все же черные дыры можно услышать, даже если их не видно, и это потому, что они бьют в пространство-время, как в барабан.	И все же черные дыры могут быть слышны, даже если их не видно, и это потому, что они стучат по пространстве-времени, как барабан.
Now we owe the idea that space can ring like a drum to Albert Einstein -- to whom we owe so much.	Предположение о том, что космос подобен мембране барабана принадлежит Альберту Эйнштейну, которому мы столь многим обязаны.	Теперь мы обязаны идеей о том, что космос может звенеть, как барабан, Альберту Эйнштейну - которому мы так многим обязаны.	Теперь мы обязаны идеей, что космос может звучать как барабан, Альберту Эйнштейну, которому мы так многим обязаны.	Идеей о том, что пространство может звенеть как барабан, мы обязаны Альберту Эйнштейну, которому мы так обязаны.	Идея о том, что пространство может звенеть как барабан, мы обязаны Альберту Эйнштейну, которому мы так многим обязаны.	Теперь мы обязаны идеей, что пространство может звенеть как барабан Альберту Эйнштейну, которому мы так многим обязаны.	Идеей о том, что пространство может звенеть как барабан, мы обязаны Альберту Эйнштейну, которому мы так многим обязаны.	Теперь идеей о том, что пространство может звенеть как барабан, мы обязаны Альберту Эйнштейну — которому мы так многим обязаны.	Теперь мы обязаны идеей, что космос может звучать как барабан, Альберту Эйнштейну, которому мы так обязаны.	Теперь мы обязаны идеей, что пространство может звенеть как барабан Альберту Эйнштейну, которому мы так обязаны.	Теперь мы обязаны идеей о том, что пространство может звенеть как барабан, Альберту Эйнштейну, которому мы так многим обязаны.	Идея о том, что пространство может звенеть как барабан, мы обязаны Альберту Эйнштейну, которому мы так многим обязаны.	Теперь мы обязаны идеей, что пространство может звенеть, как барабан, Альберту Эйнштейну, которому мы так многим обязаны.	Идеей о том, что пространство может звенеть как барабан, мы обязаны Альберту Эйнштейну - которому мы обязаны очень многим.	Теперь мы обязаны идеей, что пространство может зазвонить как барабан Альберту Эйнштейну, которому мы так много обязаны.
Einstein realized that if space were empty, if the universe were empty, it would be like this picture, except for maybe without the helpful grid drawn on it.	Эйнштейн заключил, что если бы пространство было пустым, если бы вселенная была пуста, она выглядела бы как на этом рисунке, за исключением, конечно, такой наглядной сетки.	Эйнштейн понял, что если бы пространство было пустым, если бы Вселенная была пустой, она была бы похожа на эту картинку, только, возможно, без полезной сетки, нарисованной на ней.	Эйнштейн понял, что если бы пространство было пустым, если бы Вселенная была пустой, это было бы похоже на эту картину, за исключением, может быть, без полезной сетки, нарисованной на ней.	Эйнштейн понял, что если бы пространство было пустым, если бы вселенная была пуста, это было бы похоже на эту картину, за исключением, может быть, без нарисованной на ней полезной сетки.	Эйнштейн понял, что если бы пространство было пустым, если бы Вселенная была пустой, это было бы как на этой картинке, за исключением, может быть, без полезной сетки, нарисованной на ней.	Эйнштейн понял, что если бы пространство было пустым, если бы вселенная была пуста, это было бы похоже на эту картину, за исключением, может быть, без нарисованной на ней полезной сетки.	Эйнштейн понял, что если бы пространство было пустым, если бы вселенная была пуста, это было бы похоже на эту картину, за исключением, может быть, без нарисованной на ней полезной сетки.	Эйнштейн понял, что если бы пространство было пустым, если бы вселенная была пустой, она была бы как эта картина, за исключением, может быть, без полезной сетки, нарисованной на нем.	Эйнштейн понял, что если бы пространство было пустым, если бы Вселенная была пустой, это было бы похоже на эту картину, за исключением, может быть, без полезной сетки, нарисованной на ней.	Эйнштейн понял, что если бы пространство было пустым, если бы Вселенная была пуста, это было бы как эта картина, за исключением, может быть, без полезной сетки, нарисованной на ней.	Эйнштейн понял, что если бы пространство было пустым, если бы Вселенная была пустой, это было бы похоже на эту картину, за исключением, возможно, без полезной сетки, нарисованной на ней.	Эйнштейн понял, что если бы пространство было пустым, если бы Вселенная была пустой, все было бы так, как на этой картинке, за исключением, может быть, без полезной сетки, нарисованной на ней.	Эйнштейн понял, что если бы пространство было пустым, если бы Вселенная была пуста, это было бы похоже на эту картину, за исключением, возможно, без полезной сетки, нарисованной на ней.	Эйнштейн понял, что если бы пространство было пустым, если бы Вселенная была пустой, то она была бы похожа на эту картину, за исключением, может быть, полезной сетки, нарисованной на ней.	Эйнштейн понял, что если бы пространство пустое, а вселенная пуста, то это было бы похоже на эту картинку, за исключением, возможно, без полезной сетки, нарисованной на нем.
