COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.065	0.055
0.036	0.038
0.043	0.043
0.030	0.031
0.036	0.037
0.045	0.046
0.050	0.048
0.049	0.052
0.052	0.053
0.058	0.053
0.056	0.053
0.033	0.034
0.042	0.047
0.031	0.043
0.016	0.021
0.048	0.050
0.021	0.025
0.067	0.062
0.053	0.057
0.065	0.067
0.051	0.046
0.039	0.040
0.055	0.060
0.039	0.040
0.066	0.067
0.067	0.064
0.062	0.062
0.060	0.050
0.050	0.050
0.055	0.054
0.052	0.055
0.053	0.053
0.067	0.066
0.039	0.041
0.060	0.055
0.055	0.056
0.050	0.046
0.025	0.025
0.047	0.044
0.042	0.043
0.040	0.037
0.038	0.034
0.047	0.044
0.033	0.032
0.034	0.031
0.037	0.036
0.045	0.043
0.038	0.031
0.033	0.032
0.043	0.042
0.029	0.025
0.044	0.041
0.031	0.030
0.032	0.028
0.025	0.021
0.043	0.046
0.060	0.045
0.045	0.042
0.043	0.044
0.046	0.041
0.049	0.046
0.045	0.040
0.059	0.059
0.056	0.056
0.057	0.061
0.046	0.045
0.042	0.047
0.047	0.046
0.050	0.052
0.044	0.042
0.068	0.075
0.051	0.046
0.052	0.050
0.050	0.049
0.056	0.054
0.042	0.044
0.048	0.049
0.048	0.043
0.044	0.043
0.057	0.056
0.041	0.040
0.069	0.061
0.034	0.038
0.041	0.041
0.036	0.033
0.046	0.046
0.056	0.056
0.058	0.055
0.034	0.030
0.067	0.065
0.043	0.043
0.058	0.057
0.030	0.028
0.048	0.043
0.056	0.066
0.051	0.050
0.031	0.031
0.036	0.035
0.026	0.025
0.036	0.037
0.044	0.044
0.033	0.034
0.039	0.040
0.033	0.033
0.032	0.029
0.045	0.042
0.054	0.055
0.047	0.040
0.031	0.037
0.021	0.022
0.037	0.036
0.030	0.032
0.028	0.028
0.013	0.012
0.015	0.015
0.020	0.019
0.038	0.033
0.038	0.032
0.015	0.011
0.028	0.025
0.022	0.014
0.016	0.017
0.042	0.046
0.052	0.051
0.035	0.032
0.053	0.052
0.039	0.040
0.053	0.053
0.050	0.056
0.054	0.052
0.045	0.048
0.039	0.038
0.023	0.025
0.041	0.040
0.033	0.033
0.053	0.053
0.041	0.039
0.031	0.037
0.045	0.038
0.054	0.055
0.033	0.032
0.035	0.040
0.043	0.045
0.049	0.050
0.036	0.037
0.039	0.040
0.046	0.050
0.052	0.052
0.027	0.027
0.012	0.011
0.050	0.050
0.031	0.034
0.019	0.021
0.043	0.045
0.047	0.052
0.060	0.060
0.037	0.041
0.037	0.039
0.034	0.032
0.039	0.038
0.041	0.046
0.014	0.016
0.031	0.033
0.031	0.029
0.031	0.033
0.045	0.047
0.048	0.055
0.024	0.023
0.051	0.058
0.040	0.042
0.049	0.050
0.052	0.048
0.062	0.064
0.041	0.040
0.039	0.037
0.048	0.043
0.048	0.051
0.034	0.032
0.050	0.044
0.041	0.043
0.020	0.020
0.026	0.029
0.049	0.050
0.033	0.033
0.036	0.035
0.044	0.042
0.033	0.029
0.042	0.042
0.042	0.042
0.046	0.047
0.046	0.053
0.033	0.034
0.047	0.048
0.036	0.038
0.021	0.025
0.017	0.017
0.007	0.007
0.030	0.033
0.046	0.042
0.044	0.044
0.044	0.041
0.046	0.039
0.036	0.036
0.018	0.017
0.031	0.031
0.049	0.054
0.046	0.045
0.040	0.035
0.036	0.042
0.036	0.037
0.042	0.038
0.036	0.035
0.031	0.032
0.043	0.040
0.048	0.048
0.048	0.048
0.057	0.052
0.054	0.053
0.039	0.040
0.030	0.030
0.041	0.040
0.037	0.037
0.036	0.035
0.045	0.043
0.058	0.064
0.054	0.052
0.042	0.043
0.059	0.068
0.063	0.066
0.020	0.021
0.049	0.044
0.027	0.028
0.041	0.049
0.039	0.036
0.072	0.045
0.040	0.039
0.023	0.024
0.036	0.038
0.033	0.063
0.048	0.046
0.036	0.037
0.025	0.021
0.057	0.066
0.015	0.014
0.019	0.023
0.043	0.041
0.010	0.010
0.037	0.036
0.031	0.032
0.059	0.037
0.037	0.045
0.043	0.046
0.029	0.030
0.046	0.046
0.058	0.054
0.068	0.063
0.054	0.056
0.037	0.042
0.054	0.052
0.037	0.040
0.054	0.052
0.058	0.058
0.046	0.046
0.040	0.038
0.039	0.037
0.055	0.050
0.056	0.056
0.038	0.039
0.049	0.043
0.055	0.053
0.063	0.061
0.061	0.059
0.067	0.061
0.041	0.042
0.056	0.054
0.048	0.047
0.027	0.026
0.031	0.033
0.033	0.040
0.028	0.024
0.022	0.022
0.034	0.030
0.028	0.031
0.027	0.030
0.027	0.032
0.027	0.033
0.022	0.019
0.022	0.022
0.037	0.033
0.023	0.022
0.033	0.030
0.008	0.004
0.026	0.021
0.039	0.039
0.031	0.036
0.036	0.030
0.027	0.025
0.030	0.034
0.044	0.041
0.031	0.028
0.021	0.020
0.045	0.039
0.049	0.045
0.049	0.049
0.036	0.034
0.052	0.041
0.043	0.038
0.042	0.040
0.039	0.036
0.037	0.029
0.033	0.033
0.048	0.050
0.056	0.051
0.028	0.030
0.055	0.060
0.054	0.048
0.057	0.055
0.045	0.047
0.052	0.051
0.057	0.059
0.046	0.042
0.053	0.060
0.050	0.048
0.066	0.062
0.051	0.050
0.060	0.060
0.050	0.045
0.052	0.049
0.046	0.040
0.053	0.044
0.049	0.055
0.049	0.052
0.059	0.049
0.045	0.045
0.033	0.030
0.055	0.055
0.043	0.042
0.049	0.048
0.020	0.021
0.046	0.053
0.040	0.041
0.050	0.050
0.036	0.035
0.047	0.047
0.051	0.050
0.057	0.058
0.039	0.042
0.054	0.052
0.058	0.058
0.047	0.053
0.044	0.046
0.055	0.057
0.043	0.048
0.045	0.053
0.042	0.040
0.052	0.053
0.050	0.051
0.049	0.044
0.042	0.042
0.040	0.043
0.023	0.020
0.057	0.054
0.038	0.034
0.036	0.033
0.047	0.046
0.050	0.044
0.053	0.052
0.042	0.049
0.049	0.052
0.044	0.047
0.045	0.046
0.033	0.035
0.049	0.051
0.045	0.042
0.040	0.043
0.059	0.060
0.055	0.059
0.051	0.055
0.048	0.050
0.040	0.043
0.052	0.051
0.032	0.033
0.049	0.049
0.021	0.022
0.059	0.058
0.026	0.035
0.058	0.061
0.044	0.046
0.069	0.064
0.044	0.055
0.044	0.047
0.036	0.042
0.048	0.046
0.048	0.048
0.043	0.038
0.053	0.053
0.067	0.066
0.042	0.045
0.048	0.055
0.055	0.053
0.035	0.040
0.047	0.049
0.037	0.034
0.056	0.055
0.055	0.055
0.014	0.016
0.058	0.062
0.063	0.059
0.042	0.043
0.061	0.059
0.041	0.037
0.032	0.026
0.032	0.025
0.047	0.043
0.019	0.015
0.033	0.027
0.050	0.038
0.048	0.045
0.037	0.033
0.045	0.047
0.040	0.035
0.050	0.047
0.039	0.035
0.054	0.050
0.051	0.064
0.040	0.043
0.053	0.056
0.050	0.050
0.045	0.045
0.039	0.041
0.045	0.046
0.047	0.043
0.047	0.047
0.061	0.056
0.056	0.054
0.036	0.044
0.059	0.058
0.030	0.036
0.050	0.053
0.034	0.036
0.032	0.033
0.018	0.021
0.041	0.041
0.062	0.062
0.030	0.028
0.067	0.068
0.054	0.049
0.050	0.048
0.054	0.047
0.063	0.061
0.043	0.044
0.065	0.064
0.044	0.043
0.050	0.050
0.051	0.037
0.047	0.039
0.051	0.049
0.063	0.049
0.061	0.038
0.044	0.031
0.047	0.038
0.041	0.033
0.043	0.017
0.064	0.045
0.054	0.033
0.052	0.038
0.032	0.028
0.062	0.066
0.050	0.041
0.050	0.050
0.040	0.037
0.047	0.047
0.054	0.045
0.038	0.037
0.036	0.038
0.048	0.051
0.055	0.049
0.055	0.052
0.054	0.045
0.059	0.056
0.045	0.038
0.060	0.054
0.053	0.052
0.045	0.048
0.042	0.041
0.047	0.045
0.051	0.052
0.056	0.052
0.041	0.039
0.041	0.045
0.043	0.045
0.059	0.053
0.041	0.045
0.049	0.050
0.027	0.029
0.041	0.043
0.035	0.032
0.030	0.026
0.046	0.043
0.029	0.032
0.050	0.045
0.043	0.040
0.026	0.027
0.046	0.044
0.055	0.052
0.032	0.030
0.032	0.034
0.032	0.032
0.034	0.038
0.044	0.048
0.038	0.039
0.042	0.043
0.035	0.037
0.019	0.023
0.050	0.054
0.043	0.045
0.033	0.035
0.033	0.033
0.020	0.022
0.042	0.047
0.028	0.028
0.049	0.057
0.031	0.032
0.039	0.041
0.038	0.036
0.049	0.053
0.019	0.020
0.040	0.042
0.044	0.046
0.048	0.047
0.050	0.050
0.034	0.041
0.051	0.049
0.039	0.042
0.049	0.050
0.021	0.021
0.038	0.038
0.019	0.021
0.067	0.058
0.027	0.025
0.046	0.038
-0.002	-0.003
0.043	0.037
0.040	0.043
0.040	0.044
0.026	0.032
0.046	0.049
0.040	0.045
0.041	0.048
0.050	0.047
0.045	0.047
0.031	0.032
0.042	0.043
0.057	0.057
0.044	0.047
0.053	0.051
0.053	0.057
0.043	0.044
0.055	0.051
0.059	0.049
0.062	0.055
0.034	0.032
0.016	0.013
0.048	0.041
0.049	0.053
0.042	0.040
0.041	0.045
0.043	0.042
0.045	0.040
0.035	0.029
0.057	0.051
0.044	0.044
0.038	0.032
0.036	0.037
0.034	0.032
0.056	0.053
0.046	0.045
0.047	0.045
0.047	0.043
0.043	0.043
0.052	0.052
0.037	0.037
0.048	0.048
0.038	0.040
0.043	0.040
0.031	0.027
0.055	0.052
0.045	0.044
0.046	0.047
0.040	0.037
0.051	0.050
0.055	0.056
0.050	0.052
0.055	0.055
0.059	0.052
0.046	0.044
0.055	0.057
0.035	0.030
0.070	0.064
0.049	0.044
0.047	0.046
0.042	0.042
0.033	0.036
0.052	0.052
0.026	0.028
0.056	0.052
0.036	0.034
0.042	0.037
0.069	0.057
0.039	0.052
0.055	0.060
0.048	0.041
0.059	0.052
0.041	0.056
-0.016	0.030
-0.022	0.027
-0.036	0.016
-0.033	0.012
-0.037	0.010
-0.031	0.021
-0.031	0.021
-0.037	0.007
-0.041	0.004
-0.039	0.013
-0.032	0.013
-0.011	0.034
0.070	0.057
0.033	0.035
0.043	0.047
0.045	0.048
0.050	0.057
0.063	0.061
0.063	0.065
0.059	0.058
0.050	0.054
0.052	0.054
0.036	0.038
0.039	0.037
0.042	0.041
0.056	0.055
0.020	0.023
0.037	0.043
0.054	0.051
0.045	0.044
0.046	0.045
0.051	0.052
0.053	0.055
0.062	0.063
0.052	0.051
0.047	0.049
0.048	0.051
0.066	0.067
0.034	0.032
0.030	0.031
0.039	0.042
0.022	0.020
0.035	0.032
0.022	0.024
0.037	0.039
0.033	0.030
0.037	0.036
0.047	0.045
0.035	0.039
0.035	0.037
0.043	0.032
0.039	0.032
0.033	0.033
0.051	0.052
0.023	0.023
0.042	0.037
0.035	0.033
0.035	0.034
0.052	0.041
0.029	0.035
0.017	0.018
0.034	0.032
0.029	0.029
0.064	0.049
0.045	0.050
0.043	0.047
0.044	0.048
0.032	0.034
0.049	0.052
0.051	0.052
0.056	0.054
0.033	0.043
0.028	0.029
0.025	0.026
0.016	0.019
0.035	0.037
0.026	0.028
0.027	0.026
0.043	0.049
0.045	0.044
0.050	0.054
0.040	0.042
0.037	0.040
0.058	0.060
0.051	0.052
0.051	0.054
0.056	0.059
0.030	0.029
0.034	0.036
0.021	0.019
0.024	0.025
0.036	0.035
0.056	0.053
0.034	0.034
0.039	0.038
0.056	0.060
0.047	0.044
0.045	0.042
0.021	0.015
0.048	0.047
