BLEURT-20_ref_A	BLEURT-20_ref_B
0.68	0.79
0.88	0.86
0.86	0.84
0.86	0.87
0.85	0.80
0.86	0.84
0.82	0.78
0.86	0.80
0.83	0.80
0.90	0.82
0.85	0.79
0.78	0.77
0.83	0.75
0.83	0.77
0.81	0.74
0.88	0.79
0.83	0.81
0.79	0.76
0.87	0.86
0.74	0.75
0.79	0.87
0.71	0.74
0.72	0.74
0.76	0.83
0.75	0.77
0.80	0.87
0.77	0.79
0.81	0.77
0.75	0.70
0.78	0.70
0.80	0.66
0.41	0.36
0.60	0.58
0.39	0.39
0.61	0.53
0.72	0.64
0.69	0.68
0.83	0.66
0.50	0.40
0.51	0.48
0.52	0.51
0.63	0.65
0.62	0.52
0.64	0.55
0.64	0.75
0.67	0.64
0.37	0.49
0.39	0.37
0.72	0.65
0.62	0.58
0.65	0.74
0.55	0.58
0.44	0.58
0.46	0.38
0.70	0.80
0.78	0.77
0.73	0.78
0.82	0.87
0.78	0.85
0.83	0.81
0.89	0.85
0.56	0.74
0.53	0.58
0.89	0.90
0.86	0.76
0.64	0.90
0.72	0.82
0.48	0.55
0.79	0.76
0.87	0.84
0.85	0.67
0.86	0.86
1.02	0.85
0.88	0.86
0.76	0.66
0.96	0.96
0.84	0.93
0.85	0.84
0.74	0.74
0.55	0.60
0.52	0.45
0.75	0.77
0.62	0.62
0.54	0.49
0.62	0.57
0.58	0.66
0.77	0.80
0.77	0.79
0.98	0.80
0.84	0.76
0.58	0.75
0.50	0.45
0.76	0.75
0.75	0.62
0.69	0.55
0.72	0.76
0.77	0.79
0.70	0.69
0.82	0.72
0.66	0.63
0.68	0.64
0.60	0.67
0.45	0.69
0.84	0.82
0.69	0.80
0.85	0.72
0.80	0.66
0.82	0.70
0.67	0.61
0.69	0.72
0.82	0.83
0.86	0.79
0.76	0.87
0.85	0.77
0.81	0.71
0.84	0.78
0.71	0.64
0.74	0.69
0.77	0.84
0.82	0.85
0.78	0.89
0.80	0.84
0.74	0.79
0.80	0.84
0.86	0.83
0.87	0.82
0.69	0.68
0.60	0.77
0.83	0.87
0.52	0.61
0.76	0.78
0.68	0.74
1.01	0.94
0.79	0.83
0.88	0.90
0.91	0.81
0.64	0.60
0.83	0.83
0.94	0.83
0.84	0.98
0.86	0.88
0.84	0.85
0.91	0.92
0.74	0.69
0.76	0.74
0.67	0.69
0.84	0.85
0.89	0.88
0.72	0.76
0.92	0.90
0.97	0.89
0.74	0.77
0.81	0.81
0.79	0.72
0.72	0.73
0.84	0.76
0.84	0.59
0.83	0.80
0.58	0.64
0.80	0.74
0.75	0.76
0.81	0.96
0.71	0.55
0.72	0.70
0.78	0.76
0.75	0.66
0.78	0.69
0.63	0.69
0.69	0.66
0.51	0.46
0.69	0.68
0.89	0.71
0.84	0.82
0.69	0.67
0.78	0.68
0.89	0.79
0.73	0.59
0.80	0.74
0.84	0.84
0.80	0.84
0.74	0.73
0.75	0.83
0.74	0.77
0.75	0.76
0.74	0.74
0.94	0.99
0.81	0.77
0.84	0.78
0.80	0.78
0.84	0.80
0.80	0.79
0.84	0.81
0.84	0.66
0.83	0.82
0.84	0.85
0.77	0.77
0.91	0.89
0.47	0.75
0.79	0.79
0.71	0.71
0.78	0.78
0.81	0.80
0.86	0.83
0.76	0.67
0.89	0.87
0.69	0.70
0.85	0.86
0.78	0.79
0.82	0.80
0.69	0.91
0.80	0.77
0.69	0.71
0.82	0.68
0.58	0.55
0.71	0.73
0.75	0.76
0.76	0.61
0.73	0.78
0.74	0.73
0.57	0.46
0.75	0.78
0.84	0.81
0.80	0.69
0.50	0.57
0.66	0.71
0.74	0.75
0.65	0.67
0.72	0.63
0.63	0.57
0.64	0.61
0.68	0.68
0.69	0.63
0.74	0.65
0.75	0.64
0.86	0.81
0.73	0.58
0.66	0.58
0.64	0.83
0.79	0.87
0.70	0.76
0.86	0.80
0.77	0.79
0.83	0.86
0.81	0.85
0.79	0.81
0.84	0.92
0.57	0.78
0.65	0.67
0.66	0.61
0.69	0.75
0.83	0.81
0.72	0.74
0.64	0.73
0.81	0.70
0.82	0.86
0.69	0.72
0.71	0.74
0.82	0.81
0.72	0.79
0.73	0.74
0.82	0.82
0.79	0.81
0.82	0.81
0.67	0.66
0.46	0.41
0.77	0.75
0.58	0.66
0.61	0.66
0.75	0.81
0.74	0.84
0.89	0.85
0.72	0.83
0.73	0.84
0.58	0.67
0.77	0.75
0.76	0.89
0.52	0.60
0.74	0.81
0.76	0.73
0.64	0.72
0.81	0.85
0.74	0.77
0.66	0.66
0.80	0.78
0.81	0.79
0.80	0.76
0.79	0.78
0.88	0.91
0.67	0.65
0.70	0.61
0.71	0.65
0.79	0.86
0.64	0.60
0.84	0.77
0.71	0.74
0.44	0.42
0.75	0.76
0.73	0.76
0.56	0.58
0.68	0.67
0.73	0.85
0.77	0.75
0.77	0.80
0.79	0.82
0.76	0.80
0.74	0.89
0.57	0.65
0.75	0.71
0.69	0.73
0.55	0.64
0.57	0.44
0.45	0.44
0.65	0.69
0.77	0.74
0.81	0.79
0.81	0.67
0.82	0.63
0.67	0.68
0.85	0.59
0.78	0.73
0.78	0.80
0.78	0.78
0.68	0.70
0.61	0.77
0.73	0.79
0.78	0.70
0.73	0.68
0.63	0.56
0.71	0.67
0.73	0.63
0.81	0.80
0.87	0.82
0.82	0.82
0.77	0.80
0.64	0.53
0.73	0.68
0.65	0.78
0.73	0.75
0.69	0.63
0.86	0.89
0.79	0.75
0.76	0.82
0.90	0.89
0.87	0.90
0.49	0.60
0.71	0.62
0.47	0.50
0.75	0.78
0.80	0.76
0.88	0.67
0.76	0.76
0.69	0.72
0.70	0.72
0.83	0.50
0.81	0.83
0.77	0.64
0.69	0.68
0.80	1.02
0.64	0.75
0.72	0.72
0.67	0.74
0.53	0.41
0.63	0.67
0.55	0.65
0.98	0.61
0.84	0.83
0.87	0.84
0.64	0.54
0.74	0.76
0.98	0.77
0.98	0.86
0.87	0.87
0.93	0.81
0.76	0.69
0.54	0.69
0.86	0.83
0.90	0.87
0.87	0.90
0.93	0.84
0.67	0.66
0.90	0.80
0.83	0.85
0.70	0.68
0.80	0.77
0.79	0.74
0.84	0.84
0.82	0.77
0.88	0.81
0.60	0.59
0.84	0.76
0.76	0.67
0.71	0.57
0.68	0.74
0.80	0.63
0.69	0.64
0.56	0.54
0.76	0.63
0.70	0.78
0.61	0.43
0.50	0.59
0.60	0.73
0.62	0.54
0.56	0.40
0.81	0.77
0.61	0.67
0.74	0.50
0.83	0.82
0.76	0.66
0.85	0.85
0.69	0.79
0.88	0.76
0.66	0.62
0.62	0.79
0.87	0.84
0.81	0.77
0.80	0.76
0.82	0.79
0.84	0.83
0.85	0.84
0.59	0.62
0.65	0.46
0.73	0.59
0.79	0.74
0.83	0.76
0.78	0.57
0.69	0.59
0.83	0.84
0.84	0.71
0.78	0.80
0.75	0.81
0.83	0.73
0.78	0.75
0.64	0.63
0.83	0.82
0.83	0.82
0.73	0.78
0.82	0.84
0.77	0.77
0.84	0.76
0.80	0.77
0.88	0.87
0.84	0.76
0.83	0.79
0.77	0.74
0.80	0.55
0.90	0.96
0.86	0.77
0.88	0.74
0.80	0.80
0.72	0.69
0.86	0.88
0.71	0.74
0.72	0.72
0.83	0.81
0.80	0.82
0.81	0.81
0.77	0.79
0.75	0.70
0.83	0.81
0.92	0.86
0.86	0.86
0.83	0.80
0.87	0.86
0.84	0.85
0.80	0.75
0.83	0.84
0.86	0.89
0.65	0.63
0.76	0.82
0.57	0.55
0.84	0.81
0.76	0.71
0.80	0.76
0.68	0.70
0.75	0.65
0.70	0.54
0.87	0.78
0.81	0.70
0.77	0.67
0.72	0.73
0.84	0.76
0.77	0.64
0.69	0.77
0.74	0.87
0.80	0.81
0.79	0.81
0.77	0.77
0.71	0.75
0.86	0.78
0.77	0.85
0.80	0.83
0.69	0.73
0.75	0.79
0.80	0.88
0.67	0.76
0.83	0.79
0.76	0.75
0.84	0.86
0.38	0.72
0.84	0.83
0.42	0.60
0.79	0.88
0.79	0.80
0.85	0.85
0.44	0.89
0.74	0.82
0.57	0.77
0.84	0.84
0.80	0.77
0.80	0.78
0.78	0.88
0.89	0.87
0.83	0.89
0.79	0.80
0.82	0.82
0.76	0.84
0.77	0.83
0.73	0.79
0.97	0.90
0.88	0.87
0.72	0.92
0.81	0.84
0.86	0.84
0.81	0.80
0.84	0.82
0.83	0.66
0.69	0.66
0.78	0.69
0.75	0.75
0.74	0.56
0.78	0.71
0.84	0.58
0.77	0.77
0.70	0.72
0.76	0.66
0.64	0.48
0.82	0.63
0.76	0.62
0.82	0.77
0.71	0.72
0.65	0.72
0.86	0.90
0.81	0.83
0.63	0.68
0.83	0.84
0.71	0.73
0.85	0.62
0.85	0.85
0.79	0.84
0.84	0.78
0.81	0.81
0.89	0.98
0.65	0.83
0.81	0.88
0.78	0.74
0.74	0.78
0.68	0.76
0.77	0.78
0.81	0.87
0.72	0.77
0.88	0.83
0.82	0.80
0.83	0.83
0.86	0.67
0.84	0.82
0.75	0.74
0.83	0.88
0.79	0.84
0.86	0.85
0.80	0.47
0.81	0.28
0.81	0.53
0.84	0.35
0.85	0.13
0.79	0.26
0.72	0.33
0.57	0.20
0.73	0.02
0.80	0.32
0.83	0.13
0.77	0.16
0.81	0.66
0.85	0.89
0.86	0.75
0.81	0.77
0.79	0.73
0.77	0.75
0.77	0.71
0.77	0.69
0.83	0.80
0.80	0.84
0.92	0.70
0.82	0.80
0.79	0.73
0.81	0.84
0.79	0.77
0.79	0.81
0.86	0.85
0.83	0.74
0.76	0.73
0.80	0.67
0.85	0.84
0.89	0.79
0.83	0.72
0.80	0.90
0.77	0.78
0.86	0.81
0.78	0.80
0.84	0.85
0.66	0.65
0.68	0.73
0.72	0.66
0.77	0.68
0.82	0.80
0.81	0.80
0.87	0.74
0.79	0.70
0.75	0.67
0.79	0.76
0.84	0.86
0.68	0.65
0.79	0.82
0.55	0.67
0.65	0.77
0.61	0.59
0.58	0.62
0.75	0.78
0.76	0.85
0.55	0.58
0.76	0.82
0.75	0.81
0.66	0.72
0.76	0.75
0.67	0.69
0.79	0.84
0.68	0.66
0.74	0.76
0.56	0.60
0.60	0.73
0.82	0.75
0.78	0.83
0.61	0.60
0.83	0.93
0.87	0.91
0.83	0.72
0.82	0.82
0.69	0.78
0.84	0.83
0.78	0.76
0.83	0.84
0.73	0.78
0.82	0.85
0.71	0.76
0.92	0.91
0.58	0.52
0.82	0.77
0.80	0.71
0.83	0.82
0.85	0.83
0.84	0.79
0.75	0.76
0.84	0.80
0.71	0.78
0.72	0.84
0.81	0.77
0.76	0.78
0.73	0.68
0.75	0.78
0.81	0.84
0.76	0.86
0.87	0.75
0.85	0.85
0.83	0.78
0.79	0.80
0.87	0.75
0.84	0.83
0.59	0.55
0.78	0.72
0.80	0.71
0.83	0.85
0.82	0.82
0.68	0.87
0.83	0.84
0.77	0.49
0.76	0.64
0.84	0.79
0.78	0.70
0.73	0.63
0.71	0.70
0.65	0.59
0.86	0.79
0.80	0.80
0.73	0.67
0.80	0.72
0.44	0.42
0.72	0.66
0.83	0.79
0.74	0.73
0.78	0.74
0.72	0.71
0.77	0.75
0.91	0.74
0.68	0.72
0.83	0.75
0.79	0.71
0.93	0.86
0.84	0.79
0.87	0.86
0.75	0.74
0.89	0.75
0.73	0.64
0.74	0.81
0.77	0.71
0.88	0.81
0.89	0.77
0.80	0.81
0.44	0.81
0.76	0.78
0.72	0.56
0.81	0.75
0.73	0.90
0.84	0.78
0.76	0.67
1.00	0.78
0.87	0.80
0.84	0.91
0.83	0.62
0.86	0.74
0.36	0.78
-0.27	0.84
-0.42	0.73
-0.37	0.64
0.00	0.00
-0.36	0.73
-0.38	0.72
-0.48	0.43
0.00	0.00
-0.29	0.54
-0.32	0.50
0.00	0.00
-0.22	0.58
0.89	0.85
0.57	0.66
0.78	0.86
0.78	0.83
0.81	0.84
0.87	0.83
0.88	0.88
0.85	0.85
0.86	0.87
0.84	0.87
0.67	0.67
0.73	0.64
0.64	0.49
0.86	0.81
0.49	0.61
0.58	0.77
0.79	0.76
0.67	0.71
0.75	0.66
0.73	0.82
0.81	0.88
0.85	0.79
0.65	0.57
0.82	0.85
0.82	0.81
0.87	0.86
0.52	0.51
0.57	0.70
0.71	0.64
0.61	0.47
0.61	0.54
0.45	0.47
0.66	0.75
0.55	0.56
0.70	0.69
0.77	0.73
0.67	0.70
0.50	0.46
0.86	0.67
0.80	0.50
0.73	0.70
0.81	0.79
0.66	0.65
0.73	0.75
0.58	0.69
0.70	0.70
0.96	0.79
0.73	0.78
0.56	0.60
0.46	0.45
0.50	0.54
0.88	1.01
0.77	0.82
0.70	0.85
0.76	0.83
0.67	0.75
0.82	0.89
0.77	0.80
0.78	0.67
0.71	0.82
0.75	0.81
0.57	0.52
0.59	0.67
0.80	0.72
0.62	0.63
0.62	0.65
0.69	0.86
0.82	0.77
0.78	0.80
0.68	0.74
0.77	0.71
0.85	0.87
0.70	0.73
0.75	0.80
0.81	0.85
0.74	0.69
0.82	0.80
0.81	0.76
0.70	0.70
0.80	0.78
0.71	0.74
0.69	0.67
0.74	0.74
0.82	0.78
0.81	0.60
0.77	0.71
0.78	0.70
0.83	0.80
